# RA, Dec, R, G, B, relative apparent brightness, Vmag, BV, parallax
112.30762638, -43.30143257, 0.9999999999999999, 0.6870642422493233, 0.3772376241802533, 12.589254117941675, 3.25, 1.509, 17.74
113.64942834, 31.88827629, 0.6433402546551756, 0.7176479156440192, 1.0, 58.613816451402876, 1.58, 0.034, 63.27
114.70779243, -26.8038363, 0.55, 0.647, 1.0, 7.58577575029184, 3.8, -0.159, 7.18
114.82549301, 5.22499306, 0.9494027125261534, 0.9283091891201521, 1.0, 173.78008287493745, 0.4, 0.432, 285.93
115.31180176, -9.55113089, 0.999999999999955, 0.8048888291797739, 0.5966782391338055, 6.668067692136222, 3.94, 1.022, 22.61
115.45525487, -72.60609812, 0.9999999999999039, 0.8018382178788898, 0.5904693122204635, 6.729766562843177, 3.93, 1.033, 24.36
116.11189245, 24.3979926, 1.0, 0.8283010748095538, 0.6508966795421006, 9.375620069258805, 3.57, 0.932, 22.73
116.31373311, -37.96858397, 1.0, 0.6453168457860166, 0.31282118447167045, 8.953647655495937, 3.62, 1.706, 2.35
116.32895983, 28.02619862, 1.0, 0.8132645919326953, 0.615133418475411, 86.29785477669702, 1.16, 0.991, 96.74
117.3235632, -24.85978574, 0.9999999999999996, 0.7546490126072086, 0.4955765584187771, 11.587773561551263, 3.34, 1.218, 2.42
118.05431177, -40.57578601, 1.0, 0.807637035482427, 0.6024937962701483, 8.241381150130023, 3.71, 1.012, 9.46
119.19464272, -52.98235988, 0.55, 0.647, 1.0, 10.375284158180126, 3.46, -0.177, 8.43
120.89602782, -40.0031477, 0.55, 0.647, 1.0, 32.809529311311906, 2.21, -0.269, 2.33
121.88603686, -24.30432404, 0.9740086295804932, 0.9439954134625258, 1.0, 18.535316234148116, 2.83, 0.458, 51.99
122.383126, -47.33658771, 0.55, 0.647, 1.0, 50.11872336272722, 1.75, -0.145, 3.88
124.12883578, 9.1855447, 0.9999999999999999, 0.6932020627580129, 0.38720681419444275, 9.727472237769653, 3.53, 1.481, 11.23
125.6284816, -59.50948307, 1.0, 0.7600555972580227, 0.5061195484516912, 45.28975799036207, 1.86, 1.196, 5.16
126.41513455, -3.90642364, 0.614473924196518, 0.6963210558740953, 0.9999999999999981, 6.854882264526615, 3.91, -0.012, 26.09
126.43414409, -66.13689023, 0.9999999999999938, 0.7755759185195502, 0.5382870927914852, 7.7983011052325875, 3.77, 1.132, 30.21
127.56612488, 60.71816925, 1.0, 0.8497542241401813, 0.7000250824155693, 11.481536214968829, 3.35, 0.856, 17.76
130.02559777, -35.30835239, 1.0, 0.8271952714433738, 0.6484393145992396, 6.486344335482383, 3.97, 0.936, 8.4
130.07327243, -52.9218873, 0.55, 0.647, 1.0, 9.120108393559097, 3.6, -0.168, 6.59
130.15654138, -46.64874449, 1.0, 0.9035423817386095, 0.8364629315347177, 7.7983011052325875, 3.77, 0.67, 1.05
130.89807304, -33.18638557, 0.55, 0.647, 1.0, 8.472274141405963, 3.68, -0.18, 3.86
131.17124835, 18.15430871, 1.0, 0.7882206139970908, 0.5634585348826869, 6.668067692136222, 3.94, 1.083, 23.97
131.17594322, -54.70882109, 0.6489303077056002, 0.7222133006404983, 1.0, 42.4619563946313, 1.93, 0.043, 40.9
131.50685182, -46.04152748, 0.6311524477226098, 0.7081728550868206, 0.9999999999999857, 7.11213513653329, 3.87, 0.015, 2.1
